time,size,AtoB,AtoC,AtoD
0.0,818,3.9988905289e-2,3.9994011353e-2,6.7215688711e-2
0.10225,1154,4.9003923545e-2,4.9014201276e-2,8.8323123689e-2
0.2465,770,6.6513040049e-2,6.6517168769e-2,0.126331553501
0.34275,818,5.6480430165e-2,5.6484686454e-2,8.2139086454e-2
0.445,914,4.7772346467e-2,4.7779479857e-2,0.105486008779
0.55925,866,6.5619836812e-2,6.5625831878e-2,9.1318631878e-2
0.6675,1154,3.4995921189e-2,3.5002401453e-2,8.4304688901e-2
0.81175,578,1.6155999422e-2,1.6157158076e-2,6.650739182e-2
0.884,1010,1.701999899e-2,1.7029485822e-2,4.2837485822e-2
1.01025,914,1.8969328778e-2,1.8977594947e-2,5.7011322151e-2
1.1245,1346,6.3959284597e-2,6.3968153259e-2,0.134687360706
1.29275,290,3.0099986406e-2,3.0102202124e-2,8.1202305032e-2
1.329,722,3.3218517693e-2,3.3226937939e-2,6.8453042605e-2
1.41925,482,2.8865386695e-2,2.8867266475e-2,5.4252866475e-2
1.4795,1202,1.9155558817e-2,1.9163782414e-2,5.3005719019e-2
1.62975,1490,2.3934759102e-2,2.393926435e-2,9.0206566474e-2
1.816,1394,3.0687508237e-2,3.0691756443e-2,8.604762985e-2
1.99025,1346,2.2428705268e-2,2.2432424478e-2,4.9555095305e-2
2.1585,674,,,
2.24275,146,4.8842567778e-2,4.8852260054e-2,0.10900527375
2.261,482,4.6396987476e-2,4.6402372025e-2,0.109583724311
2.32125,578,1.6155999422e-2,1.6159865455e-2,5.0562443424e-2
2.3935,1346,1.7691998654e-2,1.7701582531e-2,6.4583069002e-2
2.56175,1298,1.7595998702e-2,1.7598310088e-2,5.473876063e-2
2.724,1202,3.2878797887e-2,3.2888028424e-2,7.8531881203e-2
2.87425,866,2.8369373892e-2,2.8371697969e-2,6.1207119527e-2
2.9825,50,4.0528635949e-2,4.0538532354e-2,8.6313928426e-2
2.98875,530,1.605999947e-2,1.6067855166e-2,8.662328147e-2
3.055,146,3.6013508044e-2,3.6015104629e-2,7.8673832845e-2
3.07325,146,1.5291999854e-2,1.5301466734e-2,8.7294246485e-2
3.0915,578,3.4855934128e-2,3.4865568958e-2,6.0327968958e-2
3.16375,434,5.4239439589e-2,5.4242948375e-2,0.112708217546
3.218,1346,3.7496303119e-2,3.7505846541e-2,8.3378837324e-2
3.38625,146,5.5858366019e-2,5.5864225958e-2,9.7470233702e-2
3.4045,914,5.2473789484e-2,5.2474872619e-2,0.120255525281
3.51875,1442,5.7687510952e-2,5.7690302587e-2,9.8094285368e-2
3.699,434,5.1039627564e-2,5.1050594573e-2,0.110006544081
3.75325,578,4.4592233642e-2,4.4601755624e-2,8.0278314889e-2
3.8255,818,6.3247282156e-2,6.3253053823e-2,0.126743271607
3.92775,1442,4.0012161463e-2,4.001981611e-2,8.3021909477e-2
4.108,1106,3.8046251132e-2,3.8055414659e-2,8.3990103299e-2
4.24625,1202,6.2234440272e-2,6.2239210716e-2,0.125363796368
4.3965,1154,3.1988334144e-2,3.1992550019e-2,9.6143837146e-2
4.54075,1058,5.1380708742e-2,5.1391157567e-2,7.7237557567e-2
4.673,338,5.7330962708e-2,5.7332259958e-2,0.102270238819
4.71525,722,1.9141124355e-2,1.9143602427e-2,6.4054920771e-2
4.8055,194,4.8867977205e-2,4.8876741461e-2,0.107721079009
4.82975,98,4.0656565364e-2,4.0664509027e-2,0.108576159042
4.842,1106,1.7211998894e-2,1.7219098833e-2,6.0024489606e-2
4.98025,818,3.9791628816e-2,3.9798481235e-2,6.6573293607e-2
5.0825,914,1.8738467998e-2,1.8741746597e-2,4.4472946597e-2
5.19675,1346,5.1419491791e-2,5.1429355685e-2,0.116160401121
5.365,674,2.2517115916e-2,2.2524991435e-2,8.7894768063e-2
5.44925,98,1.748467833e-2,1.7495168957e-2,6.3934422643e-2
5.4615,578,5.7907983928e-2,5.7910563391e-2,9.4327745757e-2
5.53375,338,2.6386901242e-2,2.6394106108e-2,8.5029524773e-2
5.576,1298,1.7595998702e-2,1.7597945124e-2,4.3636345124e-2
5.73825,194,3.2403320986e-2,3.2412489922e-2,9.5125172641e-2
5.7625,1298,6.3146106657e-2,6.3153983607e-2,8.9192383607e-2
5.92475,1346,3.0041023069e-2,3.0043519724e-2,5.6120319724e-2
6.093,386,5.6415434585e-2,5.6422503975e-2,0.128168966069
6.14125,242,4.1326085238e-2,4.1332951644e-2,6.805294918e-2
6.1715,482,6.5020097383e-2,6.5021472629e-2,9.1710226905e-2
