time,size,AtoB,AtoC,AtoD
79.331,338,2.5676e-2,2.568238554e-2,5.338638554e-2
79.4155,674,2.6348e-2,2.6355591072e-2,5.6747591072e-2
79.584,1058,2.7116e-2,2.7119362482e-2,6.0583362482e-2
79.8485,290,2.558e-2,2.558340736e-2,5.290340736e-2
79.921,1154,2.7308e-2,2.7316451163e-2,6.1548451163e-2
80.2095,1154,2.7308e-2,2.731738151e-2,6.154938151e-2
80.498,146,2.5292e-2,2.5295672951e-2,0.149384984806
80.5345,578,2.6156e-2,2.6161669945e-2,5.5785669945e-2
80.679,98,7.0256940086e-2,7.0258718351e-2,9.6042718351e-2
80.7035,1442,2.7884e-2,2.7893312669e-2,6.4429312669e-2
81.064,1106,2.7212e-2,2.7217679055e-2,6.1065679055e-2
81.3405,1250,2.75e-2,2.7508542337e-2,6.2508542337e-2
81.653,1394,2.7788e-2,2.7797882765e-2,6.3949882765e-2
82.0015,578,2.6156e-2,2.6162870002e-2,5.5786870002e-2
82.146,1490,5.3147239829e-2,5.315103618e-2,9.007103618e-2
82.5185,530,2.606e-2,2.6065559478e-2,5.5305559478e-2
82.651,1202,2.7404e-2,2.740682442e-2,6.202282442e-2
82.9515,674,2.6348e-2,2.6354658483e-2,5.6746658483e-2
83.12,1202,2.7404e-2,2.7410231345e-2,6.2026231345e-2
83.4205,1346,2.7692e-2,2.7699689298e-2,6.3467689298e-2
83.757,578,2.6156e-2,2.6157968197e-2,6.2367965726e-2
83.9015,530,2.606e-2,2.6062498601e-2,5.5302498601e-2
84.034,1058,2.7116e-2,2.7118968021e-2,6.0582968021e-2
84.2985,674,2.6348e-2,2.6354300795e-2,5.6746300795e-2
84.467,962,2.6924e-2,2.6932966134e-2,5.9628966134e-2
84.7075,482,2.5964e-2,2.5973600693e-2,5.4829600693e-2
84.828,1298,2.7596e-2,2.7598010037e-2,6.2982010037e-2
85.1525,1298,2.7596e-2,2.7602399749e-2,6.2986399749e-2
85.477,1346,2.7692e-2,2.7695741133e-2,6.3463741133e-2
85.8135,434,2.5868e-2,2.5872095282e-2,0.124029494814
85.922,1154,2.7308e-2,2.7309254124e-2,6.1541254124e-2
86.2105,1394,2.7788e-2,2.7795243779e-2,6.3947243779e-2
86.559,1442,2.7884e-2,2.7889479506e-2,
86.9195,1058,2.7116e-2,2.7120537159e-2,6.0584537159e-2
87.184,290,2.558e-2,2.5587899854e-2,5.2907899854e-2
87.2565,1346,2.7692e-2,2.7694100649e-2,0.124816082143
87.593,482,2.5964e-2,2.5973858698e-2,5.4829858698e-2
87.7135,1058,2.7116e-2,2.7121219792e-2,6.0585219792e-2
87.978,674,2.6348e-2,2.6357555874e-2,5.6749555874e-2
88.1465,242,2.5484e-2,2.5490373285e-2,0.109402334016
88.207,242,2.5484e-2,2.549232181e-2,9.0398872168e-2
88.2675,338,2.5676e-2,2.5685560186e-2,5.3389560186e-2
88.352,1058,5.3433942887e-2,5.3436614778e-2,8.6900614778e-2
88.6165,338,2.5676e-2,2.5679529867e-2,5.3383529867e-2
88.701,1202,2.7404e-2,2.7407327812e-2,6.2023327812e-2
89.0015,1394,2.7788e-2,2.7789859729e-2,6.3941859729e-2
89.35,962,2.6924e-2,2.6932472543e-2,5.9628472543e-2
89.5905,722,2.6444e-2,2.6446142057e-2,5.7222142057e-2
89.771,1346,2.7692e-2,2.7700516974e-2,6.3468516974e-2
90.1075,530,2.606e-2,2.6065207579e-2,5.5305207579e-2
90.24,530,2.606e-2,2.606587873e-2,5.530587873e-2
90.3725,146,2.5292e-2,2.5301806311e-2,5.1469806311e-2
90.409,98,3.0419849322e-2,3.0429834463e-2,5.6213834463e-2
90.4335,50,2.51e-2,2.5105938587e-2,5.0505938587e-2
90.446,1442,2.7884e-2,2.7888709494e-2,6.4424709494e-2
90.8065,242,2.5484e-2,2.5488353636e-2,5.2424353636e-2
90.867,1298,2.7596e-2,2.7605832991e-2,6.2989832991e-2
91.1915,770,2.654e-2,2.6541890071e-2,5.7701890071e-2
91.384,914,2.6828e-2,2.6829033286e-2,5.9141033286e-2
91.6125,1394,2.7788e-2,2.7793675058e-2,6.3945675058e-2
91.961,1250,2.75e-2,2.7501083208e-2,6.2501083208e-2
92.2735,338,2.5676e-2,2.5681384642e-2,5.3385384642e-2
92.358,1106,3.3349338466e-2,3.3354890254e-2,
92.6345,1346,2.7692e-2,2.7700494509e-2,
92.971,194,2.5388e-2,2.5393833919e-2,5.1945833919e-2
93.0195,1442,2.7884e-2,2.7888355869e-2,6.4424355869e-2
93.38,50,2.51e-2,2.5107408496e-2,5.0507408496e-2
93.3925,1298,2.7596e-2,2.7602401242e-2,6.2986401242e-2
93.717,290,2.558e-2,2.5581285059e-2,5.2901285059e-2
93.7895,1490,2.798e-2,2.7984836033e-2,6.4904836033e-2
94.162,1250,2.75e-2,2.7507625922e-2,6.2507625922e-2
94.4745,338,2.5676e-2,2.5682463585e-2,0.129189102711
94.559,242,2.5484e-2,2.5488469751e-2,5.2424469751e-2
94.6195,146,2.5292e-2,2.5293320714e-2,0.142546985641
94.656,722,2.6444e-2,2.6446630877e-2,5.7222630877e-2
94.8365,1058,2.7116e-2,2.7121309626e-2,6.0585309626e-2
95.101,50,2.51e-2,2.5105348054e-2,5.0505348054e-2
95.1135,1346,2.7692e-2,2.7697135611e-2,6.3465135611e-2
95.45,1106,2.7212e-2,2.722183474e-2,6.106983474e-2
95.7265,866,2.6732e-2,2.6737441062e-2,5.8665441062e-2
95.943,1394,2.7788e-2,2.7791086907e-2,6.3943086907e-2
96.2915,98,2.5196e-2,2.5197022647e-2,0.114980094364
96.316,1346,2.7692e-2,2.7698176991e-2,6.3466176991e-2
96.6525,1394,2.7788e-2,2.7796990863e-2,0.142256857913
97.001,530,2.606e-2,2.606529823e-2,5.530529823e-2
97.1335,1394,2.7788e-2,2.7790806324e-2,6.3942806324e-2
97.482,962,2.6924e-2,2.6929416426e-2,5.9625416426e-2
97.7225,770,2.654e-2,2.6544818081e-2,5.7704818081e-2
97.915,1106,2.7212e-2,2.7221255192e-2,6.1069255192e-2
98.1915,962,2.6924e-2,2.6931075464e-2,5.9627075464e-2
98.432,1202,2.7404e-2,2.7408293442e-2,6.2024293442e-2
98.7325,914,2.6828e-2,2.6836075304e-2,5.9148075304e-2
98.961,1298,3.8208539015e-2,3.8210598215e-2,7.3594598215e-2
99.2855,530,2.606e-2,2.6061113784e-2,5.5301113784e-2
